Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      365.1   357.1   160.7   221.4   235.5   315.9   366.2   399.2   426.4   460.0   505.0   583.7   902.0  5472.2 11777.7  29938.9    30000  1715429642537  1715429652721
read      412.1   453.1   160.7   230.3   248.4   357.4   418.0   455.4   484.6   522.2   575.7   671.4   982.8  8199.0 19102.6  30011.8    30005  1715429654230  1715429664380
read      388.2   570.3   160.7   222.4   235.3   319.6   374.6   409.1   436.0   469.4   513.7   585.1  1005.7  9247.3 22126.7  30015.9    30010  1715429665889  1715429676007
read      355.7   314.5   160.7   219.7   231.8   314.5   366.1   398.1   423.2   454.2   496.1   561.7   741.6  4797.7 12902.1  30071.9    30015  1715429677516  1715429687642
read      338.4   345.0   160.7   217.0   227.7   299.7   343.9   372.5   394.7   422.3   458.8   514.5   660.6  4927.8 13328.2  30018.3    30020  1715429689150  1715429699267
read      349.5   286.5   160.7   220.1   231.7   310.0   360.5   391.5   415.0   444.1   483.1   544.4   711.4  4665.6 10751.6  29978.5    30025  1715429700774  1715429710889
read      335.4   256.5   160.7   215.5   226.7   298.3   343.9   373.8   397.4   426.6   464.5   524.9   675.4  3784.9  8583.6  29982.8    30030  1715429712398  1715429722512
read      352.4   356.0   173.5   219.4   230.9   309.5   358.3   390.1   414.6   445.1   487.2   552.0   727.0  5557.1 15513.3  30024.2    30035  1715429724019  1715429734133
read      352.0   291.5   160.7   219.6   231.5   312.6   361.9   393.2   417.2   447.0   487.1   548.8   734.0  4593.6  9439.4  30000.5    30040  1715429735642  1715429745757
read      345.4   346.6   160.7   215.8   227.5   304.0   351.8   382.6   405.3   435.3   475.2   538.8   710.3  4390.9 14971.6  30004.4    30045  1715429747267  1715429757385
read      371.1   366.6   160.7   224.7   239.8   329.4   380.4   411.0   434.7   465.5   507.0   581.8   807.8  4633.8 14975.0  30129.4    30050  1715429758893  1715429769005
read      347.6   209.6   160.7   217.2   231.7   320.6   369.8   398.6   420.8   447.1   482.6   541.0   683.0  1696.0  9209.2  30021.2    30055  1715429770515  1715429780633
read      339.7   219.1   160.7   216.8   230.4   312.1   358.9   387.9   409.0   435.2   469.8   527.4   656.7  1831.7  9638.9  30043.1    30060  1715429782143  1715429792258
read      346.2   196.4   160.7   220.1   234.4   318.6   367.5   396.8   419.0   445.5   480.6   537.3   672.3  1786.9  8445.9  30050.7    30065  1715429793767  1715429803887
read      341.9   198.3   160.7   221.5   236.1   315.8   361.9   390.0   411.0   436.6   471.2   528.1   643.5  1322.4  8494.4  30089.5    30070  1715429805396  1715429815511
read      340.3   216.3   160.7   219.6   232.4   311.7   359.0   387.9   408.9   435.2   470.3   527.0   651.2  1942.7  9632.3  30086.4    30075  1715429817020  1715429827141
read      348.2   220.3   160.7   220.7   235.7   321.2   370.2   399.0   420.9   446.7   480.3   534.4   653.9  1772.6  8694.2  30066.3    30080  1715429828649  1715429838766
read      349.8   225.3   160.7   220.6   235.5   321.5   370.5   399.7   422.1   449.0   484.8   541.4   681.5  2049.5  9120.9  30059.5    30085  1715429840275  1715429850396
read      336.6   209.1   148.8   222.7   236.2   308.9   352.1   379.9   401.0   427.9   462.7   515.2   628.2  1550.8  8581.2  30138.4    30090  1715429851905  1715429862020
read      340.0   245.9   160.7   219.8   233.3   312.5   357.7   386.1   406.7   433.1   467.3   520.9   636.7  1476.1 10890.3  30007.4    30095  1715429863529  1715429873649
read      344.3   211.3   160.7   221.3   235.4   316.5   364.2   392.9   414.4   440.1   473.8   530.6   658.4  1927.7  8739.1  30180.3    30100  1715429875158  1715429885279
