Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      368.1   302.8   160.7   223.4   237.9   324.0   376.6   409.5   435.0   467.4   511.4   587.4   825.5  4730.8  9745.5  30009.3    30000  1715430242818  1715430252984
read      378.1   510.8   160.7   221.5   234.4   317.8   371.5   404.9   431.9   465.0   509.0   580.8   864.1  9608.1 18985.8  29902.8    30005  1715430254494  1715430264653
read      394.4   594.3   160.7   221.4   234.7   322.9   379.7   415.7   443.6   479.4   530.2   615.2  1099.8  9789.7 23908.6  29977.3    30010  1715430266163  1715430276286
read      353.7   288.2   173.5   220.9   234.1   314.2   363.9   395.0   419.5   450.0   491.7   556.5   726.0  4220.4 10956.0  30001.1    30015  1715430277795  1715430287912
read      356.3   354.6   160.7   217.3   229.2   312.6   364.9   396.8   422.2   454.2   497.0   565.8   750.7  5149.8 15430.3  29968.7    30020  1715430289420  1715430299535
read      348.6   344.8   160.7   218.4   229.3   305.8   355.7   387.3   411.2   441.1   482.0   544.4   706.6  4725.1 14558.6  29991.4    30025  1715430301044  1715430311157
read      348.4   304.5   160.7   219.3   231.0   309.5   358.5   389.8   413.6   443.2   483.8   544.6   694.6  4368.2 11850.3  29946.6    30030  1715430312668  1715430322788
read      354.8   315.5   160.7   219.5   231.4   312.4   363.9   396.1   421.6   452.9   495.2   562.8   755.3  4749.6 13102.6  30096.3    30035  1715430324296  1715430334412
read      352.7   355.6   160.7   214.6   226.8   308.0   359.2   391.2   415.6   446.4   489.1   556.4   744.0  6039.7 14492.9  30076.3    30040  1715430335922  1715430346034
read      340.9   322.7   160.7   216.7   227.6   298.7   344.4   374.1   397.6   426.6   464.0   521.8   678.4  5117.8 11582.2  30082.9    30045  1715430347543  1715430357658
read      371.9   345.7   160.7   223.1   238.5   329.0   381.6   413.3   436.9   467.9   510.2   586.9   848.8  5392.0 14220.4  30110.4    30050  1715430359167  1715430369276
read      346.7   197.9   160.7   220.6   235.2   320.1   368.5   397.7   419.9   446.4   481.4   537.5   667.0  1349.2  8394.1  30084.2    30055  1715430370786  1715430380905
read      342.0   246.3   160.7   221.6   235.0   311.8   357.6   386.5   407.9   435.3   471.0   528.6   658.6  2293.9 11534.7  29958.2    30060  1715430382412  1715430392524
read      326.9   197.6   160.7   217.5   228.9   299.0   341.5   369.5   391.1   417.1   451.5   502.5   615.7  1537.5  8711.1  30095.2    30065  1715430394031  1715430404153
read      337.0   207.2   160.7   218.8   231.4   309.1   354.0   383.0   404.1   431.3   466.4   522.7   645.5  1708.6  8216.7  30047.3    30070  1715430405661  1715430415777
read      340.9   204.6   160.7   217.0   231.2   313.8   360.5   389.2   410.5   436.4   470.7   527.3   656.4  1899.1  8322.8  30050.6    30075  1715430417286  1715430427400
read      343.3   228.0   160.7   222.9   236.9   314.6   360.4   388.9   410.1   436.2   471.1   528.9   647.7  1864.5 10783.0  30122.7    30080  1715430428909  1715430439026
read      334.8   201.4   160.7   220.4   233.5   307.4   350.0   377.7   399.2   426.1   460.9   513.0   631.8  1816.6  8090.7  30089.0    30085  1715430440534  1715430450650
read      335.0   219.3   160.7   218.7   230.9   306.2   349.3   377.6   399.6   427.1   463.1   518.7   637.4  2066.8  8669.3  30044.5    30090  1715430452158  1715430462268
read      347.0   205.8   160.7   218.6   232.0   318.6   368.4   398.0   421.2   449.1   486.2   545.4   687.7  1617.7  8786.5  30087.0    30095  1715430463777  1715430473893
read      343.6   198.1   160.7   216.9   230.7   315.8   365.7   395.3   417.9   444.9   480.2   537.3   673.2  1676.7  8106.9  30121.8    30100  1715430475401  1715430485518
read      344.6   184.5   160.7   220.5   234.4   318.5   366.7   395.1   416.7   443.0   477.7   533.8   665.3  1554.7  8104.2  30102.0    30105  1715430487027  1715430497143
read      337.7   208.3   160.7   219.6   232.5   308.3   354.1   383.4   405.0   432.7   467.9   524.3   650.7  2046.3  8648.0  30060.2    30110  1715430498652  1715430508769
read      338.0   216.7   160.7   220.5   233.6   310.0   354.5   382.9   403.8   431.1   465.4   518.4   637.8  1903.9  9553.5  30130.6    30115  1715430510276  1715430520396
