Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      460.9   860.6    86.8   140.9   155.9   255.0   323.5   368.7   403.3   453.5   607.4  1289.0  4967.1  7498.6 19631.0  29922.4    30000  1714661829808  1714661839970
read      602.8  1017.0    93.8   163.9   185.0   317.3   408.4   467.3   527.9   753.8  1131.0  2215.1  5369.1  7851.4 20335.9  29948.2    30005  1714661841477  1714661851617
read      596.9  1006.5    93.8   161.6   182.8   319.3   413.8   472.9   533.0   714.3  1095.1  2131.7  5370.1  7990.8 20329.4  30011.9    30010  1714661853126  1714661863238
read      593.3   991.9    93.8   159.4   179.0   307.2   390.2   446.8   509.4   813.5  1122.6  2172.7  5359.4  7684.9 19987.9  30080.1    30015  1714661864746  1714661874868
read      592.4   974.3    86.8   161.1   182.0   314.2   406.2   465.3   525.1   738.4  1111.1  2162.2  5311.4  7498.1 19971.1  30081.2    30020  1714661876376  1714661886489
read      601.4   995.4    93.8   161.1   181.7   315.9   403.5   458.5   512.2   720.7  1126.4  3009.5  5316.9  7785.7 19991.3  29942.5    30025  1714661887996  1714661898105
read      595.7   965.1    86.8   162.9   184.2   319.5   415.6   472.5   528.5   706.4  1110.3  2190.0  5302.6  7480.6 19761.8  30072.0    30030  1714661899614  1714661909732
read      590.7   985.9    86.8   157.0   176.6   305.1   389.0   442.3   500.6   777.6  1123.2  2976.5  5293.0  7555.5 19899.1  30044.8    30035  1714661911242  1714661921363
read      603.4  1031.1    86.8   161.8   183.3   320.5   414.9   471.9   526.3   680.1  1090.9  2311.6  5403.5  8133.7 20194.3  30083.7    30040  1714661922872  1714661932981
read      586.3   981.9    86.8   161.5   182.1   313.3   406.0   466.6   525.9   730.2  1081.7  2059.4  5349.6  7529.1 20184.1  30086.9    30045  1714661934489  1714661944604
read      455.4   838.5    86.8   140.2   155.2   250.2   312.9   350.7   379.5   420.3   559.6  1337.4  5088.6  6891.5 17106.5  30005.2    30050  1714661946111  1714661956225
read      227.9   191.4    80.4   129.1   141.3   205.9   240.2   263.2   280.7   303.2   334.3   381.6   466.4  1517.7  8570.8  30022.4    30055  1714661957733  1714661967850
read      242.5   181.1    86.8   138.1   151.5   221.9   259.6   283.8   302.3   325.2   356.5   400.3   482.5   835.6  8047.4  29978.9    30060  1714661969357  1714661979473
read      239.8   190.4    86.8   136.4   149.7   218.5   255.1   278.8   296.9   319.5   349.2   395.1   473.4  1260.5  8466.0  29988.1    30065  1714661980982  1714661991096
read      231.6   196.3    80.4   129.1   141.6   209.4   246.3   270.6   289.8   313.2   343.9   391.2   470.3   983.5  8355.5  30010.1    30070  1714661992603  1714662002719
read      241.9   169.2    80.4   136.9   149.6   219.1   258.5   284.1   303.8   328.0   360.8   406.7   493.5   940.6  7800.8  30173.8    30075  1714662004230  1714662014348
read      251.9   199.3    74.4   138.9   152.6   227.6   270.4   297.1   318.0   343.6   375.5   423.3   509.2  1215.1 10566.7  30028.3    30080  1714662015857  1714662025974
read      249.0   176.2    86.8   136.7   150.4   225.7   268.4   295.3   316.3   342.4   374.5   421.5   504.5   972.1  8071.8  30005.5    30085  1714662027482  1714662037606
read      258.9   180.5    86.8   145.4   159.2   233.9   276.8   304.5   325.3   351.0   384.6   432.7   534.3  1208.7  8300.3  30060.5    30090  1714662039115  1714662049230
read      256.0   179.0    86.8   139.4   153.3   231.6   275.4   304.1   325.2   351.8   386.2   434.4   530.5  1010.0  8222.3  30084.3    30095  1714662050739  1714662060859
read      253.1   183.9    86.8   140.3   154.0   228.9   271.3   298.1   319.1   344.8   378.2   426.9   522.5   897.8  8694.1  30067.4    30100  1714662062369  1714662072495
