Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      372.4   325.1   160.7   225.2   239.8   324.4   376.3   410.0   435.5   468.6   515.9   596.5   945.9  4122.3 10910.3  29986.9    30000  1715430715670  1715430725850
read      356.9   480.9   160.7   219.0   229.9   304.5   353.1   385.0   409.4   441.0   482.0   544.0   739.7  8245.8 19906.0  29992.3    30005  1715430727360  1715430737503
read      382.0   584.2   160.7   219.5   231.5   314.9   368.9   403.1   430.7   464.9   510.1   585.1   894.4  9865.3 20351.7  29992.4    30010  1715430739011  1715430749129
read      358.1   515.6   160.7   218.2   228.8   303.8   353.4   385.1   408.9   438.3   477.9   540.6   775.3  8105.4 23909.0  29974.1    30015  1715430750636  1715430760748
read      356.8   336.4   160.7   219.3   231.3   313.5   365.3   398.0   423.9   455.8   498.7   567.0   747.1  4639.6 12729.0  29976.5    30020  1715430762264  1715430772383
read      349.9   306.8   160.7   215.7   227.8   309.7   361.7   393.2   417.4   447.5   487.4   546.4   724.7  4752.5 11178.0  29935.9    30025  1715430773891  1715430784005
read      347.7   312.3   160.7   218.1   229.5   307.5   357.3   388.7   412.6   442.7   483.3   545.3   713.7  4375.0 10946.1  30098.9    30030  1715430785516  1715430795632
read      361.1   277.4   160.7   220.5   233.7   322.4   375.6   408.1   433.7   465.3   507.6   578.9   772.6  3823.8 10875.0  30175.4    30035  1715430797142  1715430807261
read      339.8   345.8   160.7   216.9   227.1   296.1   343.2   373.9   397.8   427.0   463.7   518.9   672.7  5454.6 13645.5  30113.3    30040  1715430808769  1715430818893
read      360.2   341.8   160.7   220.1   232.5   316.9   369.0   401.5   427.5   460.2   504.3   575.7   761.1  4412.9 12037.6  30015.8    30045  1715430820402  1715430830522
read      357.3   287.5   160.7   221.1   235.3   318.0   368.5   399.1   423.3   452.7   492.2   556.9   786.3  4465.9  8912.8  29954.6    30050  1715430832031  1715430842144
read      339.7   214.7   160.7   219.4   232.9   311.7   357.5   386.9   408.3   435.1   470.1   528.7   660.5  1403.8  9190.4  30155.5    30055  1715430843651  1715430853774
read      347.9   221.1   160.7   220.8   235.9   318.8   366.4   395.6   418.1   445.3   481.8   540.7   678.9  2245.2  8701.8  30087.0    30060  1715430855282  1715430865396
read      342.2   295.0   160.7   221.7   234.7   308.5   352.6   381.1   402.1   429.1   462.8   513.0   633.9  4285.6 12529.2  30124.5    30065  1715430866904  1715430877020
