Timestamp start: 1715965429260
Timestamp end: 1715966089800

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      385.1   916.0    74.4   146.0   175.6   318.7   368.5   396.0   415.9   438.2   470.0   527.2  1646.1 10091.9 32251.9   7390.9     7434
read      385.2   488.1    68.9   128.5   149.3   326.6   413.8   465.7   504.7   551.2   611.7   713.0  1678.1  3883.6 26937.5  67125.6    67201
read      373.5   303.7    68.9   132.9   155.8   330.3   412.2   461.8   500.7   548.1   611.8   710.8  1144.1  3070.5  8683.6  85877.4    85927
read      357.3   233.3    68.9   128.3   148.1   328.8   416.6   466.5   502.5   543.3   592.3   664.6   849.4  1956.5  5908.3  64020.3    63953
read      342.2   246.9    68.9   125.1   145.2   318.3   396.8   443.1   475.4   511.6   552.3   610.1   744.4  1603.4  9654.3  31671.6    31595
read      358.7   232.9    63.8   131.6   153.6   325.3   405.4   454.7   492.3   537.6   595.4   685.6   904.0  1976.8  6492.2  87939.9    87879
read      344.7   635.7    80.4   143.3   168.4   297.9   342.2   367.6   386.8   409.6   441.7   496.6  1122.5  8909.8 29977.2   7309.0     7287
read      390.4   380.1    68.9   130.0   150.5   335.5   424.5   476.8   515.9   562.3   621.1   727.3  1779.2  3067.7 11285.7  62243.2    62295
read      338.0   658.9    74.4   143.7   171.9   293.8   334.7   357.3   372.9   393.5   420.5   467.1  1066.2  8388.3 31008.0   6517.4     6561
read      352.2   422.5    68.9   124.4   144.9   307.1   383.7   428.2   460.0   496.5   543.9   644.5  1034.6  5548.3 14073.1  22555.5    22532
read      361.5   256.6    68.9   125.6   146.2   332.2   418.0   467.6   503.5   545.0   595.6   674.9   903.5  2022.1  8541.2  60626.3    60653
read      360.3   269.1    63.8   125.2   146.0   331.0   415.3   464.8   500.9   542.2   592.7   670.1   895.3  2067.9  9247.9  58904.8    59076
read      358.3   278.6    68.9   125.1   145.4   328.8   413.8   462.2   497.5   538.2   588.0   662.2   879.3  2636.9  9402.6  60197.3    60154
read      332.5   322.3    68.9   125.8   146.4   306.5   383.1   425.9   454.8   486.3   523.4   576.5   722.1  3335.0 11106.4  22962.6    22964
read      359.5   777.4    74.4   134.7   164.0   305.2   357.3   387.9   409.9   435.7   467.9   519.3  1068.1 11751.4 32046.5   8181.3     8172
read      369.0   500.2    68.9   124.1   144.8   312.2   390.4   440.4   477.0   520.2   578.8   739.6  1158.6  6366.7 20702.8  27747.5    27652
read      346.8   256.2    68.9   124.4   144.8   324.6   398.7   441.4   472.4   509.4   553.1   616.8   787.2  3690.3  7806.8  37641.7    37594
read      323.8   284.0    63.8   124.4   144.7   299.8   367.8   408.5   437.4   469.2   505.6   559.9   720.7  2417.8 12144.8  24311.5    24367
read      335.8   225.0    68.9   123.0   143.2   316.7   386.8   428.2   459.3   495.4   538.8   598.2   757.7  1531.4  7867.2  33767.4    33771
read      364.0   271.2    68.9   129.1   152.2   329.5   409.6   457.6   493.6   537.7   595.7   691.0   939.1  2861.9  8481.5  84907.7    84944
read      361.1   241.8    63.8   129.9   153.1   328.7   409.0   457.3   493.4   536.8   593.4   687.4   917.7  2123.2  6546.6  85677.8    85666
read      353.0   263.4    68.9   125.4   146.0   328.9   408.9   454.1   486.3   523.9   570.8   638.8   842.7  1824.0  9882.9  51796.0    51918
read      351.3   370.6    63.8   125.8   146.9   320.9   390.6   431.9   463.8   501.6   546.9   617.9   928.8  4147.9 12229.4  34457.1    34406
read      344.8   271.4    68.9   128.3   148.5   320.8   390.9   432.0   462.6   498.1   541.6   608.2   820.8  3061.4  9122.3  28639.6    28664
read      357.6   274.5    68.9   126.5   146.9   332.6   410.4   456.3   488.9   526.0   572.0   640.0   868.5  2355.8  9829.8  38243.0    38289
read      330.3   349.6    68.9   128.2   148.5   304.3   369.2   407.1   435.1   466.4   503.9   561.9   753.9  4200.0 10992.0  20693.1    20658
read      354.8   484.3    74.4   131.7   152.4   310.1   374.3   413.8   445.5   489.1   554.4   669.3   989.5  4533.7 24179.4  13857.2    13840
read      391.2   359.9    68.9   137.6   164.0   351.9   436.3   486.1   523.6   569.8   632.2   741.0  1015.5  3605.3 11943.2  93357.9    93419
read      381.8   268.0    68.9   139.3   166.6   347.5   429.4   478.1   514.8   559.9   622.0   725.4   967.4  2044.1  7904.3  98309.1    98284
read      373.1   372.8    68.9   129.5   151.5   338.4   424.2   473.4   509.5   552.6   608.8   696.9   930.0  2894.7 16374.6  71352.9    71313
read      359.1   284.9    68.9   125.8   146.7   335.0   413.1   458.0   490.1   527.5   574.0   641.1   847.2  3242.3  8229.3  42030.4    42089
read      367.5   365.6    68.9   127.5   148.7   337.5   418.8   464.5   497.7   536.3   584.1   658.0   914.3  3638.9 13416.9  46545.1    46458
read      344.4   274.6    68.9   125.4   146.1   323.2   393.1   434.4   465.6   501.8   545.2   610.1   783.7  2084.6  9821.9  30702.9    30755
read      359.8   277.3    68.9   126.4   147.1   336.6   416.3   460.8   493.3   530.7   577.2   643.0   851.7  2730.3  9709.5  42871.2    42889
read      375.7   327.0    68.9   135.0   160.0   339.8   421.9   469.3   505.7   550.0   612.1   710.8   933.1  3521.0 10241.4  93536.1    93552
read      369.9   302.1    68.9   128.0   149.1   337.0   423.9   473.6   510.1   552.7   608.2   692.1   921.3  3335.4  9558.9  65847.2    65694
read      353.9   357.2    68.9   126.9   147.5   327.0   400.0   443.5   475.3   511.3   555.8   623.7   820.1  3682.3 12279.7  29659.4    29574
read      368.8   318.0    68.9   127.5   147.8   340.4   425.7   472.3   506.5   545.7   594.6   671.4   896.0  3131.1 10190.3  51395.1    51355
read      375.1   325.1    68.9   129.5   151.1   341.4   429.4   480.0   517.1   560.3   616.3   700.9   935.0  3076.1  9924.0  67332.2    67361
read      368.4   510.0    74.4   129.8   150.4   314.5   388.2   430.9   463.4   506.9   582.9   721.5  1013.1  7329.0 26908.1  16308.4    16287
read      566.1   555.6    68.9   151.8   191.3   433.4   528.7   603.1   678.6   800.8  1075.0  1688.9  2210.9  4073.0 14407.8  81655.6    81508
read      376.0   287.9    63.8   133.4   157.7   341.2   425.6   474.7   512.0   557.4   618.9   717.3   941.3  2447.8  9658.1  87549.9    87619
read      379.2   274.5    63.8   139.5   166.3   345.2   425.5   471.7   507.9   553.1   617.1   719.1   939.2  2198.2  9790.7  99126.9    99068
read      367.5   255.6    68.9   127.4   148.4   341.5   426.8   473.3   507.2   546.7   596.5   673.3   907.4  2549.0  7963.8  51235.9    51267
