Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      256.9   167.5    80.4   139.6   154.3   235.5   276.6   302.1   321.4   346.5   382.4   436.8   536.9   958.5  8184.3  29960.6    30000  1714732358899  1714732369055
read      273.9   162.5    80.4   142.3   158.2   250.2   297.3   326.4   348.4   376.4   414.5   470.7   590.3  1557.8  7637.3  29981.9    30005  1714732370565  1714732380705
read      256.8   407.3    86.8   138.8   152.9   234.4   276.5   302.5   322.0   347.5   383.7   437.8   541.3   998.8  7593.6  29953.1    30010  1714732382214  1714732392329
read      252.3   399.6    74.4   138.9   153.3   231.4   271.6   296.4   315.9   340.8   373.9   426.0   517.4   801.8  7168.9  29974.1    30015  1714732393836  1714732403949
read      271.9   557.8    80.4   141.3   156.6   248.5   295.8   323.3   344.5   371.0   406.5   464.5   587.0  1023.8  7532.2  30079.2    30020  1714732405457  1714732415570
read      253.1   163.3    80.4   140.0   154.3   232.9   272.4   296.0   315.1   339.2   372.0   424.5   524.4   923.9  8241.1  29964.5    30025  1714732417077  1714732427187
read      257.2   139.1    80.4   140.0   154.8   235.2   277.0   303.2   322.7   348.5   385.4   441.3   547.3   849.7  6353.7  30019.6    30030  1714732428696  1714732438812
read      272.9   176.3    80.4   145.7   161.3   250.4   296.1   323.3   344.3   370.9   406.4   464.8   585.1  1162.7  8218.3  30027.5    30035  1714732440319  1714732450430
read      275.5   194.9    80.4   142.7   158.6   253.3   300.3   328.2   349.6   375.8   411.6   467.3   585.9  1389.8  8698.6  29986.0    30040  1714732451936  1714732462055
read      275.7   945.2    86.8   144.8   160.2   247.3   292.8   320.2   342.5   370.2   408.0   467.2   587.9  1538.2  8464.3  30006.1    30045  1714732463563  1714732473677
read      263.7   177.5    86.8   139.5   155.5   241.4   284.5   311.1   332.2   359.2   395.4   450.5   548.9  1066.6  8069.5  30081.0    30050  1714732475186  1714732485302
read      262.6   195.4    80.4   141.7   156.7   240.2   282.9   308.4   327.9   353.3   388.4   444.6   551.0  1501.7  8418.2  30000.0    30055  1714732486811  1714732496923
read      294.5   193.6    86.8   151.4   168.7   269.3   320.0   351.4   374.8   404.4   445.9   507.5   646.4  1377.9  7876.4  29973.1    30060  1714732498432  1714732508547
read      265.5   422.9    80.4   142.1   157.6   243.2   286.5   312.2   332.0   357.1   391.8   445.8   546.8  1253.5  8366.7  30058.9    30065  1714732510055  1714732520170
read      272.9   220.5    80.4   143.2   159.4   249.7   295.2   322.1   343.1   369.7   404.2   459.7   570.3  1482.7 12009.9  30150.3    30070  1714732521679  1714732531793
read      263.1   172.8    80.4   139.5   154.6   240.9   285.1   311.7   332.4   359.0   395.5   453.2   558.7   941.3  8184.7  30091.0    30075  1714732533301  1714732543418
read      284.4   188.3    86.8   146.1   162.5   258.9   308.4   338.2   361.7   391.1   430.6   494.6   633.7  1447.9  8013.8  30199.5    30080  1714732544925  1714732555043
read      270.9   202.4    86.8   146.1   162.1   247.6   290.9   317.2   338.1   364.5   401.0   460.0   574.2  1227.5 10752.4  29996.4    30085  1714732556550  1714732566662
read      271.2   177.3    80.4   146.9   162.6   248.4   291.8   317.9   339.0   365.4   401.2   460.8   579.1  1442.7  8190.7  30128.5    30090  1714732568171  1714732578282
read      253.8   161.0    80.4   141.6   156.1   233.7   272.8   297.0   316.0   339.7   371.7   423.2   521.5   847.0  7831.9  30211.3    30095  1714732579790  1714732589900
read      256.4   161.6    80.4   142.8   157.4   235.4   275.4   300.2   319.0   343.4   376.7   431.1   532.6   869.6  7838.0  29990.1    30100  1714732591410  1714732601520
read      268.1   183.5    86.8   144.9   160.2   245.2   288.7   314.8   335.5   361.8   397.6   455.8   570.9  1269.3  8634.8  30103.4    30105  1714732603027  1714732613142
read      276.7   218.9    74.4   144.9   161.2   253.6   300.6   328.4   349.5   375.7   412.3   470.4   591.8  1005.1 10708.3  30114.2    30110  1714732614649  1714732624762
