Pseudo-terminal will not be allocated because stdin is not a terminal.
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      544.2   772.4   173.5   254.7   278.4   419.3   494.6   543.3   583.8   636.3   722.4   964.3  3282.6 10739.8 22584.7  29985.2    30000  1715180745073  1715180755260
read      431.9   656.4   173.5   237.3   255.1   359.2   413.6   445.5   469.5   501.6   544.8   626.1  1716.7 10669.3 23028.2  29950.0    30005  1715180756770  1715180766915
read      402.1   607.4   173.5   232.2   247.8   342.3   392.6   422.9   446.5   475.9   517.9   583.8   911.3 10235.9 24587.2  29962.4    30010  1715180768423  1715180778542
read      373.1   329.3   160.7   232.3   247.1   336.1   383.0   410.0   431.2   458.6   496.1   555.8   744.3  5213.4 12485.2  30051.9    30015  1715180780051  1715180790168
read      385.5   322.2   160.7   237.4   254.3   350.7   400.2   429.2   451.6   478.6   516.7   578.8   753.7  5572.2 11035.9  30092.9    30020  1715180791676  1715180801792
read      366.8   336.3   173.5   233.1   247.4   330.4   373.8   399.8   420.5   445.9   482.4   540.3   687.7  5450.3 12196.3  30024.7    30025  1715180803302  1715180813415
read      389.6   371.9   160.7   238.6   255.7   353.4   402.7   432.0   454.9   482.5   521.0   582.5   757.6  5170.9 15737.8  29975.6    30030  1715180814922  1715180825042
read      368.5   320.9   173.5   235.3   249.8   335.2   380.9   407.2   428.4   454.7   490.8   547.0   687.4  4315.4 12396.1  30062.6    30035  1715180826551  1715180836666
read      372.8   326.6   160.7   229.2   245.1   337.8   385.4   412.9   433.7   461.1   498.1   556.0   724.0  4927.0 12253.8  29991.4    30040  1715180838176  1715180848295
read      376.6   361.6   173.5   233.5   248.7   337.9   385.6   413.7   434.7   462.4   500.2   560.0   727.9  6150.0 12592.6  30040.2    30045  1715180849805  1715180859924
read      397.8   491.6   160.7   239.2   255.9   348.4   397.8   427.3   449.8   477.0   515.9   582.0   951.8  7387.2 20233.1  30075.9    30050  1715180861432  1715180871555
read      345.8   205.6   160.7   229.0   243.9   322.3   363.5   388.6   406.9   432.0   465.4   516.7   620.9  1772.8  8400.2  29987.1    30055  1715180873062  1715180883182
read      373.1   223.1   173.5   235.3   252.2   353.1   402.4   430.2   450.8   473.6   504.9   549.3   653.0  1864.2  8663.3  30071.5    30060  1715180884690  1715180894809
read      372.5   223.8   173.5   236.8   254.1   350.8   399.0   426.3   446.0   469.0   500.5   545.5   652.7  2636.0  8681.0  30028.6    30065  1715180896320  1715180906439
read      368.3   225.0   160.7   235.7   252.2   346.2   394.3   421.6   441.0   465.3   497.0   543.2   643.9  2269.6 10103.2  29986.1    30070  1715180907947  1715180918065
read      357.8   200.2   160.7   232.0   247.4   336.5   382.1   408.3   428.8   453.6   484.6   530.7   629.6  1674.7  9287.0  30174.6    30075  1715180919572  1715180929693
read      357.8   207.0   160.7   233.8   249.2   336.2   380.6   405.5   426.2   450.1   480.3   527.2   626.8  1933.9  8609.2  30005.3    30080  1715180931201  1715180941316
read      360.7   206.5   160.7   234.4   250.2   339.9   386.5   413.0   432.6   457.0   488.1   534.8   629.9  1386.7  8792.3  29991.4    30085  1715180942823  1715180952942
read      373.6   224.5   160.7   238.0   255.3   352.6   401.1   428.5   448.7   471.3   502.6   547.2   658.7  2123.5  9199.4  30091.3    30090  1715180954453  1715180964569
read      357.6   202.4   160.7   235.5   250.4   336.1   380.1   405.0   425.7   449.8   480.5   526.7   619.6  2028.2  8420.8  30051.5    30095  1715180966077  1715180976192
read      370.1   224.4   173.5   237.8   254.5   348.7   397.0   424.5   444.4   468.0   499.7   545.6   642.5  1803.2 10514.4  30131.2    30100  1715180977698  1715180987820
read      366.6   203.7   160.7   234.9   251.1   345.3   393.0   419.7   438.3   462.9   494.5   540.7   642.5  2356.5  8213.0  30071.7    30105  1715180989328  1715180999449
read      362.6   200.6   160.7   232.9   249.5   342.1   388.6   414.7   433.6   458.3   490.0   537.1   642.4  1614.4  8438.3  30054.1    30110  1715181000956  1715181011087
read      365.4   220.3   160.7   233.4   250.5   344.3   391.3   417.9   436.6   461.3   492.8   539.5   641.4  2220.2  8664.1  30069.6    30115  1715181012607  1715181022730
read      368.3   218.0   160.7   234.5   251.5   347.7   396.0   423.0   442.2   465.8   497.1   542.5   638.5  1956.6  9313.4  30048.4    30120  1715181024238  1715181034360
read      359.0   208.0   173.5   231.9   247.7   337.6   383.7   409.6   429.6   454.0   485.6   534.0   633.8  1860.6  8663.8  30108.4    30125  1715181035869  1715181045985
read      368.8   235.8   160.7   235.4   251.9   346.5   394.0   421.0   440.1   464.1   495.7   541.9   642.7  2456.8  9362.8  30160.6    30130  1715181047493  1715181057611
read      358.6   180.6   160.7   229.8   246.5   338.6   384.6   410.5   430.2   454.7   486.3   535.5   639.2  1571.4  8201.7  30135.8    30135  1715181059122  1715181069243
read      372.2   198.9   160.7   236.7   254.3   351.7   399.6   426.8   446.6   469.4   501.8   547.8   660.5  2196.1  8231.7  30158.2    30140  1715181070752  1715181080871
read      375.7   194.7   160.7   238.1   256.6   357.0   404.4   431.4   451.7   474.2   505.0   549.9   661.8  2026.0  8105.7  30165.0    30145  1715181082380  1715181092498
read      428.2   418.5   160.7   230.3   247.5   355.7   413.4   448.8   475.8   511.1   567.8   700.0  2821.9  3966.2 12060.6  29939.1    30150  1715181094006  1715181104174
read      465.4   570.3   160.7   230.6   246.9   343.1   406.9   452.7   489.5   538.0   618.7   835.7  3260.5  7037.4 13545.4  29906.6    30155  1715181105688  1715181115936
read      414.9   503.5   160.7   228.3   243.8   333.2   388.0   424.7   454.0   491.9   548.1   688.9  2272.1  7499.2 17096.7  30205.6    30160  1715181117450  1715181127668
read      358.7   206.0   160.7   232.9   248.4   336.5   381.5   406.7   426.9   450.7   481.2   529.4   631.3  2456.8  8170.4  30231.9    30165  1715181129175  1715181139288
